level4,level3,level2
33900,3390,339
33901,3390,339
33902,3390,339
33903,3390,339
33904,3390,339
33905,3390,339
33910,3391,339
33911,3391,339
33912,3391,339
33920,3392,339
33921,3392,339
33922,3392,339
3393,3393,339
33941,3394,339
33942,3394,339
33943,3394,339
33982,3398,339
33983,3398,339
33984,3398,339
33985,3398,339
33989,3398,339
340,340,340
3410,3410,341
3411,3411,341
34120,3412,341
34121,3412,341
34122,3412,341
3418,3418,341
3419,3419,341
34200,3420,342
34201,3420,342
34202,3420,342
34210,3421,342
34211,3421,342
34212,3421,342
34280,3428,342
34281,3428,342
34282,3428,342
34290,3429,342
34291,3429,342
34292,3429,342
